"","plot","grid_number","date","rich","plot_grid","treatment","complexity","plot_date","days_since_outplanting"
"238","HN",15,"25-Jun-19",1,"HN - 15","50%","High","HN - 25-Jun-19",13
"239","HN",15,"28-Jul-19",0,"HN - 15","50%","High","HN - 28-Jul-19",48
"240","HN",15,"28-Jun-19",2,"HN - 15","50%","High","HN - 28-Jun-19",18
"241","HN",16,"02-Jul-19",1,"HN - 16","100%","High","HN - 02-Jul-19",23
"242","HN",16,"05-Jul-19",0,"HN - 16","100%","High","HN - 05-Jul-19",26
"243","HN",16,"05-Jun-19",0,"HN - 16","100%","High","HN - 05-Jun-19",1
"244","HN",16,"06-Jun-19",2,"HN - 16","100%","High","HN - 06-Jun-19",2
"245","HN",16,"07-Jun-19",0,"HN - 16","100%","High","HN - 07-Jun-19",3
"246","HN",16,"09-Jul-19",2,"HN - 16","100%","High","HN - 09-Jul-19",30
"247","HN",16,"11-Jun-19",2,"HN - 16","100%","High","HN - 11-Jun-19",5
"248","HN",16,"13-Jun-19",1,"HN - 16","100%","High","HN - 13-Jun-19",7
"249","HN",16,"15-Jul-19",0,"HN - 16","100%","High","HN - 15-Jul-19",33
"250","HN",16,"15-Jun-19",1,"HN - 16","100%","High","HN - 15-Jun-19",9
"251","HN",16,"20-Jul-19",0,"HN - 16","100%","High","HN - 20-Jul-19",37
"252","HN",16,"20-Jun-19",0,"HN - 16","100%","High","HN - 20-Jun-19",11
"253","HN",16,"25-Jul-19",2,"HN - 16","100%","High","HN - 25-Jul-19",43
"254","HN",16,"25-Jun-19",0,"HN - 16","100%","High","HN - 25-Jun-19",13
"255","HN",16,"28-Jul-19",2,"HN - 16","100%","High","HN - 28-Jul-19",48
"256","HN",16,"28-Jun-19",1,"HN - 16","100%","High","HN - 28-Jun-19",18
"257","HN",17,"02-Jul-19",2,"HN - 17","control","High","HN - 02-Jul-19",23
"258","HN",17,"05-Jul-19",0,"HN - 17","control","High","HN - 05-Jul-19",26
"259","HN",17,"05-Jun-19",1,"HN - 17","control","High","HN - 05-Jun-19",1
"260","HN",17,"06-Jun-19",1,"HN - 17","control","High","HN - 06-Jun-19",2
"261","HN",17,"07-Jun-19",0,"HN - 17","control","High","HN - 07-Jun-19",3
"262","HN",17,"09-Jul-19",1,"HN - 17","control","High","HN - 09-Jul-19",30
"263","HN",17,"11-Jun-19",1,"HN - 17","control","High","HN - 11-Jun-19",5
"264","HN",17,"13-Jun-19",1,"HN - 17","control","High","HN - 13-Jun-19",7
"265","HN",17,"15-Jul-19",1,"HN - 17","control","High","HN - 15-Jul-19",33
"266","HN",17,"15-Jun-19",0,"HN - 17","control","High","HN - 15-Jun-19",9
"267","HN",17,"20-Jul-19",1,"HN - 17","control","High","HN - 20-Jul-19",37
"268","HN",17,"20-Jun-19",1,"HN - 17","control","High","HN - 20-Jun-19",11
"269","HN",17,"25-Jul-19",1,"HN - 17","control","High","HN - 25-Jul-19",43
"270","HN",17,"25-Jun-19",0,"HN - 17","control","High","HN - 25-Jun-19",13
"271","HN",17,"28-Jul-19",1,"HN - 17","control","High","HN - 28-Jul-19",48
"272","HN",17,"28-Jun-19",1,"HN - 17","control","High","HN - 28-Jun-19",18
"273","HN",18,"02-Jul-19",2,"HN - 18","0%","High","HN - 02-Jul-19",23
"274","HN",18,"05-Jul-19",1,"HN - 18","0%","High","HN - 05-Jul-19",26
"275","HN",18,"05-Jun-19",0,"HN - 18","0%","High","HN - 05-Jun-19",1
"276","HN",18,"06-Jun-19",1,"HN - 18","0%","High","HN - 06-Jun-19",2
"277","HN",18,"07-Jun-19",1,"HN - 18","0%","High","HN - 07-Jun-19",3
"278","HN",18,"09-Jul-19",2,"HN - 18","0%","High","HN - 09-Jul-19",30
"279","HN",18,"11-Jun-19",1,"HN - 18","0%","High","HN - 11-Jun-19",5
"280","HN",18,"13-Jun-19",1,"HN - 18","0%","High","HN - 13-Jun-19",7
"281","HN",18,"15-Jul-19",1,"HN - 18","0%","High","HN - 15-Jul-19",33
"282","HN",18,"15-Jun-19",1,"HN - 18","0%","High","HN - 15-Jun-19",9
"283","HN",18,"20-Jul-19",2,"HN - 18","0%","High","HN - 20-Jul-19",37
"284","HN",18,"20-Jun-19",1,"HN - 18","0%","High","HN - 20-Jun-19",11
"285","HN",18,"25-Jul-19",2,"HN - 18","0%","High","HN - 25-Jul-19",43
"286","HN",18,"25-Jun-19",3,"HN - 18","0%","High","HN - 25-Jun-19",13
"287","HN",18,"28-Jul-19",2,"HN - 18","0%","High","HN - 28-Jul-19",48
"288","HN",18,"28-Jun-19",2,"HN - 18","0%","High","HN - 28-Jun-19",18
"289","HN",19,"02-Jul-19",2,"HN - 19","30%","High","HN - 02-Jul-19",23
"290","HN",19,"05-Jul-19",1,"HN - 19","30%","High","HN - 05-Jul-19",26
"291","HN",19,"05-Jun-19",0,"HN - 19","30%","High","HN - 05-Jun-19",1
"292","HN",19,"06-Jun-19",1,"HN - 19","30%","High","HN - 06-Jun-19",2
"293","HN",19,"07-Jun-19",0,"HN - 19","30%","High","HN - 07-Jun-19",3
"294","HN",19,"09-Jul-19",3,"HN - 19","30%","High","HN - 09-Jul-19",30
"295","HN",19,"11-Jun-19",0,"HN - 19","30%","High","HN - 11-Jun-19",5
"296","HN",19,"13-Jun-19",2,"HN - 19","30%","High","HN - 13-Jun-19",7
"297","HN",19,"15-Jul-19",0,"HN - 19","30%","High","HN - 15-Jul-19",33
"298","HN",19,"15-Jun-19",2,"HN - 19","30%","High","HN - 15-Jun-19",9
"299","HN",19,"20-Jul-19",1,"HN - 19","30%","High","HN - 20-Jul-19",37
"300","HN",19,"20-Jun-19",1,"HN - 19","30%","High","HN - 20-Jun-19",11
"301","HN",19,"25-Jul-19",2,"HN - 19","30%","High","HN - 25-Jul-19",43
"302","HN",19,"25-Jun-19",1,"HN - 19","30%","High","HN - 25-Jun-19",13
"303","HN",19,"28-Jul-19",2,"HN - 19","30%","High","HN - 28-Jul-19",48
"304","HN",19,"28-Jun-19",0,"HN - 19","30%","High","HN - 28-Jun-19",18
"305","HN",20,"02-Jul-19",1,"HN - 20","0%","High","HN - 02-Jul-19",23
"306","HN",20,"05-Jul-19",1,"HN - 20","0%","High","HN - 05-Jul-19",26
"307","HN",20,"05-Jun-19",1,"HN - 20","0%","High","HN - 05-Jun-19",1
"308","HN",20,"06-Jun-19",1,"HN - 20","0%","High","HN - 06-Jun-19",2
