plot,grid_number,date,abundance,plot_grid,treatment,complexity,plot_date,days_since_outplanting
HN,10,15-Jun-19,2,HN - 10,control,High,HN - 15-Jun-19,9
HN,10,20-Jul-19,4,HN - 10,control,High,HN - 20-Jul-19,37
HN,10,20-Jun-19,0,HN - 10,control,High,HN - 20-Jun-19,11
HN,10,25-Jul-19,3,HN - 10,control,High,HN - 25-Jul-19,43
HN,10,25-Jun-19,0,HN - 10,control,High,HN - 25-Jun-19,13
HN,10,28-Jul-19,2,HN - 10,control,High,HN - 28-Jul-19,48
HN,10,28-Jun-19,7,HN - 10,control,High,HN - 28-Jun-19,18
HN,11,02-Jul-19,1,HN - 11,30%,High,HN - 02-Jul-19,23
HN,11,05-Jul-19,0,HN - 11,30%,High,HN - 05-Jul-19,26
HN,11,05-Jun-19,0,HN - 11,30%,High,HN - 05-Jun-19,1
HN,11,06-Jun-19,0,HN - 11,30%,High,HN - 06-Jun-19,2
HN,11,07-Jun-19,1,HN - 11,30%,High,HN - 07-Jun-19,3
HN,11,09-Jul-19,0,HN - 11,30%,High,HN - 09-Jul-19,30
HN,11,11-Jun-19,3,HN - 11,30%,High,HN - 11-Jun-19,5
HN,11,13-Jun-19,7,HN - 11,30%,High,HN - 13-Jun-19,7
HN,11,15-Jul-19,0,HN - 11,30%,High,HN - 15-Jul-19,33
HN,11,15-Jun-19,0,HN - 11,30%,High,HN - 15-Jun-19,9
HN,11,20-Jul-19,0,HN - 11,30%,High,HN - 20-Jul-19,37
HN,11,20-Jun-19,0,HN - 11,30%,High,HN - 20-Jun-19,11
HN,11,25-Jul-19,0,HN - 11,30%,High,HN - 25-Jul-19,43
HN,11,25-Jun-19,0,HN - 11,30%,High,HN - 25-Jun-19,13
HN,11,28-Jul-19,3,HN - 11,30%,High,HN - 28-Jul-19,48
HN,11,28-Jun-19,0,HN - 11,30%,High,HN - 28-Jun-19,18
HN,12,02-Jul-19,0,HN - 12,70%,High,HN - 02-Jul-19,23
HN,12,05-Jul-19,5,HN - 12,70%,High,HN - 05-Jul-19,26
HN,12,05-Jun-19,0,HN - 12,70%,High,HN - 05-Jun-19,1
HN,12,06-Jun-19,0,HN - 12,70%,High,HN - 06-Jun-19,2
HN,12,07-Jun-19,0,HN - 12,70%,High,HN - 07-Jun-19,3
HN,12,09-Jul-19,0,HN - 12,70%,High,HN - 09-Jul-19,30
HN,12,11-Jun-19,0,HN - 12,70%,High,HN - 11-Jun-19,5
HN,12,13-Jun-19,0,HN - 12,70%,High,HN - 13-Jun-19,7
HN,12,15-Jul-19,0,HN - 12,70%,High,HN - 15-Jul-19,33
HN,12,15-Jun-19,0,HN - 12,70%,High,HN - 15-Jun-19,9
HN,12,20-Jul-19,7,HN - 12,70%,High,HN - 20-Jul-19,37
HN,12,20-Jun-19,0,HN - 12,70%,High,HN - 20-Jun-19,11
HN,12,25-Jul-19,0,HN - 12,70%,High,HN - 25-Jul-19,43
HN,12,25-Jun-19,0,HN - 12,70%,High,HN - 25-Jun-19,13
HN,12,28-Jul-19,4,HN - 12,70%,High,HN - 28-Jul-19,48
HN,12,28-Jun-19,9,HN - 12,70%,High,HN - 28-Jun-19,18
HN,13,02-Jul-19,4,HN - 13,100%,High,HN - 02-Jul-19,23
HN,13,05-Jul-19,1,HN - 13,100%,High,HN - 05-Jul-19,26
HN,13,05-Jun-19,0,HN - 13,100%,High,HN - 05-Jun-19,1
HN,13,06-Jun-19,4,HN - 13,100%,High,HN - 06-Jun-19,2
HN,13,07-Jun-19,4,HN - 13,100%,High,HN - 07-Jun-19,3
HN,13,09-Jul-19,2,HN - 13,100%,High,HN - 09-Jul-19,30
HN,13,11-Jun-19,1,HN - 13,100%,High,HN - 11-Jun-19,5
HN,13,13-Jun-19,5,HN - 13,100%,High,HN - 13-Jun-19,7
HN,13,15-Jul-19,4,HN - 13,100%,High,HN - 15-Jul-19,33
HN,13,15-Jun-19,0,HN - 13,100%,High,HN - 15-Jun-19,9
HN,13,20-Jul-19,10,HN - 13,100%,High,HN - 20-Jul-19,37
HN,13,20-Jun-19,4,HN - 13,100%,High,HN - 20-Jun-19,11
HN,13,25-Jul-19,14,HN - 13,100%,High,HN - 25-Jul-19,43
HN,13,25-Jun-19,19,HN - 13,100%,High,HN - 25-Jun-19,13
HN,13,28-Jul-19,6,HN - 13,100%,High,HN - 28-Jul-19,48
HN,13,28-Jun-19,1,HN - 13,100%,High,HN - 28-Jun-19,18
HN,14,02-Jul-19,1,HN - 14,0%,High,HN - 02-Jul-19,23
HN,14,05-Jul-19,2,HN - 14,0%,High,HN - 05-Jul-19,26
HN,14,05-Jun-19,0,HN - 14,0%,High,HN - 05-Jun-19,1
HN,14,06-Jun-19,1,HN - 14,0%,High,HN - 06-Jun-19,2
HN,14,07-Jun-19,1,HN - 14,0%,High,HN - 07-Jun-19,3
HN,14,09-Jul-19,0,HN - 14,0%,High,HN - 09-Jul-19,30
HN,14,11-Jun-19,10,HN - 14,0%,High,HN - 11-Jun-19,5
HN,14,13-Jun-19,1,HN - 14,0%,High,HN - 13-Jun-19,7
HN,14,15-Jul-19,3,HN - 14,0%,High,HN - 15-Jul-19,33
HN,14,15-Jun-19,7,HN - 14,0%,High,HN - 15-Jun-19,9
HN,14,20-Jul-19,0,HN - 14,0%,High,HN - 20-Jul-19,37
HN,14,20-Jun-19,8,HN - 14,0%,High,HN - 20-Jun-19,11
HN,14,25-Jul-19,5,HN - 14,0%,High,HN - 25-Jul-19,43
HN,14,25-Jun-19,5,HN - 14,0%,High,HN - 25-Jun-19,13
HN,14,28-Jul-19,0,HN - 14,0%,High,HN - 28-Jul-19,48
HN,14,28-Jun-19,0,HN - 14,0%,High,HN - 28-Jun-19,18
HN,15,02-Jul-19,0,HN - 15,50%,High,HN - 02-Jul-19,23
HN,15,05-Jul-19,0,HN - 15,50%,High,HN - 05-Jul-19,26
HN,15,05-Jun-19,2,HN - 15,50%,High,HN - 05-Jun-19,1
HN,15,06-Jun-19,0,HN - 15,50%,High,HN - 06-Jun-19,2
HN,15,07-Jun-19,0,HN - 15,50%,High,HN - 07-Jun-19,3
HN,15,09-Jul-19,2,HN - 15,50%,High,HN - 09-Jul-19,30
HN,15,11-Jun-19,14,HN - 15,50%,High,HN - 11-Jun-19,5
HN,15,13-Jun-19,0,HN - 15,50%,High,HN - 13-Jun-19,7
HN,15,15-Jul-19,0,HN - 15,50%,High,HN - 15-Jul-19,33
HN,15,15-Jun-19,1,HN - 15,50%,High,HN - 15-Jun-19,9
HN,15,20-Jul-19,0,HN - 15,50%,High,HN - 20-Jul-19,37
HN,15,20-Jun-19,0,HN - 15,50%,High,HN - 20-Jun-19,11
HN,15,25-Jul-19,4,HN - 15,50%,High,HN - 25-Jul-19,43
HN,15,25-Jun-19,0,HN - 15,50%,High,HN - 25-Jun-19,13
HN,15,28-Jul-19,0,HN - 15,50%,High,HN - 28-Jul-19,48
HN,15,28-Jun-19,1,HN - 15,50%,High,HN - 28-Jun-19,18
HN,16,02-Jul-19,1,HN - 16,100%,High,HN - 02-Jul-19,23
HN,16,05-Jul-19,1,HN - 16,100%,High,HN - 05-Jul-19,26
HN,16,05-Jun-19,1,HN - 16,100%,High,HN - 05-Jun-19,1
HN,16,06-Jun-19,1,HN - 16,100%,High,HN - 06-Jun-19,2
HN,16,07-Jun-19,1,HN - 16,100%,High,HN - 07-Jun-19,3
HN,16,09-Jul-19,1,HN - 16,100%,High,HN - 09-Jul-19,30
HN,16,11-Jun-19,9,HN - 16,100%,High,HN - 11-Jun-19,5
HN,16,13-Jun-19,0,HN - 16,100%,High,HN - 13-Jun-19,7
HN,16,15-Jul-19,4,HN - 16,100%,High,HN - 15-Jul-19,33
HN,16,15-Jun-19,11,HN - 16,100%,High,HN - 15-Jun-19,9
HN,16,20-Jul-19,3,HN - 16,100%,High,HN - 20-Jul-19,37
HN,16,20-Jun-19,3,HN - 16,100%,High,HN - 20-Jun-19,11
HN,16,25-Jul-19,3,HN - 16,100%,High,HN - 25-Jul-19,43
HN,16,25-Jun-19,1,HN - 16,100%,High,HN - 25-Jun-19,13
HN,16,28-Jul-19,0,HN - 16,100%,High,HN - 28-Jul-19,48
HN,16,28-Jun-19,2,HN - 16,100%,High,HN - 28-Jun-19,18
HN,17,02-Jul-19,6,HN - 17,control,High,HN - 02-Jul-19,23
HN,17,05-Jul-19,0,HN - 17,control,High,HN - 05-Jul-19,26
HN,17,05-Jun-19,1,HN - 17,control,High,HN - 05-Jun-19,1
HN,17,06-Jun-19,1,HN - 17,control,High,HN - 06-Jun-19,2
HN,17,07-Jun-19,6,HN - 17,control,High,HN - 07-Jun-19,3
HN,17,09-Jul-19,0,HN - 17,control,High,HN - 09-Jul-19,30
HN,17,11-Jun-19,5,HN - 17,control,High,HN - 11-Jun-19,5
HN,17,13-Jun-19,5,HN - 17,control,High,HN - 13-Jun-19,7
HN,17,15-Jul-19,0,HN - 17,control,High,HN - 15-Jul-19,33
HN,17,15-Jun-19,2,HN - 17,control,High,HN - 15-Jun-19,9
HN,17,20-Jul-19,5,HN - 17,control,High,HN - 20-Jul-19,37
HN,17,20-Jun-19,4,HN - 17,control,High,HN - 20-Jun-19,11
HN,17,25-Jul-19,3,HN - 17,control,High,HN - 25-Jul-19,43
HN,17,25-Jun-19,1,HN - 17,control,High,HN - 25-Jun-19,13
HN,17,28-Jul-19,2,HN - 17,control,High,HN - 28-Jul-19,48
HN,17,28-Jun-19,3,HN - 17,control,High,HN - 28-Jun-19,18
HN,18,02-Jul-19,1,HN - 18,0%,High,HN - 02-Jul-19,23
HN,18,05-Jul-19,15,HN - 18,0%,High,HN - 05-Jul-19,26
HN,18,05-Jun-19,0,HN - 18,0%,High,HN - 05-Jun-19,1
HN,18,06-Jun-19,1,HN - 18,0%,High,HN - 06-Jun-19,2
HN,18,07-Jun-19,3,HN - 18,0%,High,HN - 07-Jun-19,3
